site_name,latitude,longitude,dcac_ratio,gcr,racking,racking_encoded,cf_60min,annual_ghi,mean_kt,std_kt,ghi_cv,mean_dni,pct_clear_hours,subhourly_loss_pct,subhourly_loss_pct_clamped
Bondville_IL,40.05,-88.37,1.5,0.6,fixed,0,14.386069714077866,1456.65,0.4652,0.2814,0.9315,300.4,27.23,1.611899741717452,1.611899741717452
Bondville_IL,40.05,-88.37,1.6,0.3,tracker,1,16.470866111860264,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.1072948141007886,2.1072948141007886
Bondville_IL,40.05,-88.37,1.6,0.3,fixed,0,14.30400447758166,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.0429491126536368,2.0429491126536368
Bondville_IL,40.05,-88.37,1.6,0.4,tracker,1,16.02584638844378,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.16027252435497,2.16027252435497
Bondville_IL,40.05,-88.37,1.6,0.4,fixed,0,14.23740308227029,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.0192923354709436,2.0192923354709436
Bondville_IL,40.05,-88.37,1.6,0.5,tracker,1,15.560565107867914,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.1002236162360495,2.1002236162360495
Bondville_IL,40.05,-88.37,1.6,0.5,fixed,0,14.157257891432486,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.000936092698058,2.000936092698058
Bondville_IL,40.05,-88.37,1.6,0.6,tracker,1,15.098311825386505,1456.65,0.4652,0.2814,0.9315,300.4,27.23,2.00005000982805,2.00005000982805
Bondville_IL,40.05,-88.37,1.6,0.6,fixed,0,14.056371349702513,1456.65,0.4652,0.2814,0.9315,300.4,27.23,1.9762663891691825,1.9762663891691825
FortPeck_MT,48.31,-105.1,1.2,0.3,tracker,1,18.823963586101417,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.15591709111192534,0.15591709111192534
FortPeck_MT,48.31,-105.1,1.2,0.3,fixed,0,16.19236087957216,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.31719074327331626,0.31719074327331626
FortPeck_MT,48.31,-105.1,1.2,0.4,tracker,1,18.10376428831547,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.04084625050615836,0.04084625050615836
FortPeck_MT,48.31,-105.1,1.2,0.4,fixed,0,16.091916171215164,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.27889132074398915,0.27889132074398915
FortPeck_MT,48.31,-105.1,1.2,0.5,tracker,1,17.352577698141936,1458.0,0.5197,0.263,0.8828,334.88,31.22,-0.009731729230994683,0.0
FortPeck_MT,48.31,-105.1,1.2,0.5,fixed,0,15.964127665347222,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.24492663707867787,0.24492663707867787
FortPeck_MT,48.31,-105.1,1.2,0.6,tracker,1,16.586514723150632,1458.0,0.5197,0.263,0.8828,334.88,31.22,-0.09869957559585837,0.0
FortPeck_MT,48.31,-105.1,1.2,0.6,fixed,0,15.82119925705835,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.2045170624972454,0.2045170624972454
FortPeck_MT,48.31,-105.1,1.3,0.3,tracker,1,18.634254321806743,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.8259934523751168,0.8259934523751168
FortPeck_MT,48.31,-105.1,1.3,0.3,fixed,0,16.018913225462967,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.8389226496067914,0.8389226496067914
FortPeck_MT,48.31,-105.1,1.3,0.4,tracker,1,17.94235371542967,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.7573821416434044,0.7573821416434044
FortPeck_MT,48.31,-105.1,1.3,0.4,fixed,0,15.925264783730643,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.8014580747318965,0.8014580747318965
FortPeck_MT,48.31,-105.1,1.3,0.5,tracker,1,17.220330927553363,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.696494582156922,0.696494582156922
FortPeck_MT,48.31,-105.1,1.3,0.5,fixed,0,15.8045913824339,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.7681704984949533,0.7681704984949533
FortPeck_MT,48.31,-105.1,1.3,0.6,tracker,1,16.485767950383345,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.5565136515310747,0.5565136515310747
FortPeck_MT,48.31,-105.1,1.3,0.6,fixed,0,15.670436788598147,1458.0,0.5197,0.263,0.8828,334.88,31.22,0.7242361042385216,0.7242361042385216
FortPeck_MT,48.31,-105.1,1.4,0.3,tracker,1,18.282513214777737,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.5358718970007368,1.5358718970007368
FortPeck_MT,48.31,-105.1,1.4,0.3,fixed,0,15.745411546382742,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.2614860994595922,1.2614860994595922
FortPeck_MT,48.31,-105.1,1.4,0.4,tracker,1,17.62189746715443,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.4796768418774013,1.4796768418774013
FortPeck_MT,48.31,-105.1,1.4,0.4,fixed,0,15.658465500924851,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.2285655655929588,1.2285655655929588
FortPeck_MT,48.31,-105.1,1.4,0.5,tracker,1,16.942865729955116,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.391874334159855,1.391874334159855
FortPeck_MT,48.31,-105.1,1.4,0.5,fixed,0,15.545208533510342,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.1978452483828887,1.1978452483828887
FortPeck_MT,48.31,-105.1,1.4,0.6,tracker,1,16.250103957212705,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.1727266362160884,1.1727266362160884
FortPeck_MT,48.31,-105.1,1.4,0.6,fixed,0,15.421179415302406,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.1612410060133331,1.1612410060133331
FortPeck_MT,48.31,-105.1,1.5,0.3,tracker,1,17.82604924524343,1458.0,0.5197,0.263,0.8828,334.88,31.22,2.0942947577621593,2.0942947577621593
FortPeck_MT,48.31,-105.1,1.5,0.3,fixed,0,15.411308991399666,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.6289957823946593,1.6289957823946593
FortPeck_MT,48.31,-105.1,1.5,0.4,tracker,1,17.19897228281494,1458.0,0.5197,0.263,0.8828,334.88,31.22,2.0176858132914646,2.0176858132914646
FortPeck_MT,48.31,-105.1,1.5,0.4,fixed,0,15.330563494394266,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.5999930272198883,1.5999930272198883
FortPeck_MT,48.31,-105.1,1.5,0.5,tracker,1,16.568012954099185,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.9087083118022243,1.9087083118022243
FortPeck_MT,48.31,-105.1,1.5,0.5,fixed,0,15.225694509652891,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.5728157414819266,1.5728157414819266
FortPeck_MT,48.31,-105.1,1.5,0.6,tracker,1,15.921470739947058,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.636573830532616,1.636573830532616
FortPeck_MT,48.31,-105.1,1.5,0.6,fixed,0,15.11046860877439,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.5365182745285186,1.5365182745285186
FortPeck_MT,48.31,-105.1,1.6,0.3,tracker,1,17.321119994026798,1458.0,0.5197,0.263,0.8828,334.88,31.22,2.454424507626698,2.454424507626698
FortPeck_MT,48.31,-105.1,1.6,0.3,fixed,0,15.045362555692217,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.9415090621619002,1.9415090621619002
FortPeck_MT,48.31,-105.1,1.6,0.4,tracker,1,16.72948988892209,1458.0,0.5197,0.263,0.8828,334.88,31.22,2.3455650735710485,2.3455650735710485
FortPeck_MT,48.31,-105.1,1.6,0.4,fixed,0,14.969589142579084,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.9147287322323632,1.9147287322323632
FortPeck_MT,48.31,-105.1,1.6,0.5,tracker,1,16.147565359529032,1458.0,0.5197,0.263,0.8828,334.88,31.22,2.2441289410641936,2.2441289410641936
FortPeck_MT,48.31,-105.1,1.6,0.5,fixed,0,14.87237249033667,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.8872182543298148,1.8872182543298148
FortPeck_MT,48.31,-105.1,1.6,0.6,tracker,1,15.550994079934698,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.967734577456174,1.967734577456174
FortPeck_MT,48.31,-105.1,1.6,0.6,fixed,0,14.76501584100197,1458.0,0.5197,0.263,0.8828,334.88,31.22,1.8575992919425874,1.8575992919425874
GoodwinCreek_MS,34.25,-89.87,1.2,0.3,tracker,1,18.147955164798866,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.17205358378293276,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.3,fixed,0,15.56381829465349,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.14712700654227856,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.4,tracker,1,17.674023237177035,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.14615206741097625,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.4,fixed,0,15.478789646209789,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.18392799513833702,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.5,tracker,1,17.12129041614992,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.2141009456852155,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.5,fixed,0,15.381765908872042,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.21389183980545812,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.6,tracker,1,16.543905206961462,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.24054225501477025,0.0
GoodwinCreek_MS,34.25,-89.87,1.2,0.6,fixed,0,15.261258868175968,1534.22,0.4596,0.2677,0.9279,312.37,25.67,-0.2461592113421335,0.0
GoodwinCreek_MS,34.25,-89.87,1.3,0.3,tracker,1,18.028041478979176,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.45899516202432733,0.45899516202432733
GoodwinCreek_MS,34.25,-89.87,1.3,0.3,fixed,0,15.450873217632893,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.44910446436483137,0.44910446436483137
GoodwinCreek_MS,34.25,-89.87,1.3,0.4,tracker,1,17.567356410886966,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.5057524621948059,0.5057524621948059
GoodwinCreek_MS,34.25,-89.87,1.3,0.4,fixed,0,15.370049869032858,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.39849036667253585,0.39849036667253585
GoodwinCreek_MS,34.25,-89.87,1.3,0.5,tracker,1,17.02438620165126,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.4210161048338171,0.4210161048338171
GoodwinCreek_MS,34.25,-89.87,1.3,0.5,fixed,0,15.277319669403187,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.3524374499714255,0.3524374499714255
GoodwinCreek_MS,34.25,-89.87,1.3,0.6,tracker,1,16.463851235141654,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.3947309218991348,0.3947309218991348
GoodwinCreek_MS,34.25,-89.87,1.3,0.6,fixed,0,15.162021736089926,1534.22,0.4596,0.2677,0.9279,312.37,25.67,0.30000520313460827,0.30000520313460827
GoodwinCreek_MS,34.25,-89.87,1.4,0.3,tracker,1,17.753748826245438,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.2210347907650374,1.2210347907650374
GoodwinCreek_MS,34.25,-89.87,1.4,0.3,fixed,0,15.231194436344587,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.167253662630204,1.167253662630204
GoodwinCreek_MS,34.25,-89.87,1.4,0.4,tracker,1,17.314078134939013,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.301217340016891,1.301217340016891
GoodwinCreek_MS,34.25,-89.87,1.4,0.4,fixed,0,15.15627823854476,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.116248457250395,1.116248457250395
GoodwinCreek_MS,34.25,-89.87,1.4,0.5,tracker,1,16.797860119095784,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.2373779994394853,1.2373779994394853
GoodwinCreek_MS,34.25,-89.87,1.4,0.5,fixed,0,15.069991498093067,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.0709816299904342,1.0709816299904342
GoodwinCreek_MS,34.25,-89.87,1.4,0.6,tracker,1,16.26357119386231,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.196411996941611,1.196411996941611
GoodwinCreek_MS,34.25,-89.87,1.4,0.6,fixed,0,14.962016241498718,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.0161442626809731,1.0161442626809731
GoodwinCreek_MS,34.25,-89.87,1.5,0.3,tracker,1,17.357537198209144,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.9224190411894746,1.9224190411894746
GoodwinCreek_MS,34.25,-89.87,1.5,0.3,fixed,0,14.9393467571559,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.8203236489171672,1.8203236489171672
GoodwinCreek_MS,34.25,-89.87,1.5,0.4,tracker,1,16.939122819793692,1534.22,0.4596,0.2677,0.9279,312.37,25.67,2.0227652784945387,2.0227652784945387
GoodwinCreek_MS,34.25,-89.87,1.5,0.4,fixed,0,14.869750137717476,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.7748848080938393,1.7748848080938393
GoodwinCreek_MS,34.25,-89.87,1.5,0.5,tracker,1,16.456168780151554,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.9815185333648095,1.9815185333648095
GoodwinCreek_MS,34.25,-89.87,1.5,0.5,fixed,0,14.788833633007128,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.7337779472659167,1.7337779472659167
GoodwinCreek_MS,34.25,-89.87,1.5,0.6,tracker,1,15.955391749250008,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.9091668983066574,1.9091668983066574
GoodwinCreek_MS,34.25,-89.87,1.5,0.6,fixed,0,14.68726724593135,1534.22,0.4596,0.2677,0.9279,312.37,25.67,1.6829232072686944,1.6829232072686944
